Product Card Id,Product Name,Revenue,Profit,Units_Sold,Orders,Profit_Margin
825,Bridgestone e6 Straight Distance NFL Tennesse,25751.94975595,2361.749972533,805,256,0.09171150126165947
885,Team Golf St. Louis Cardinals Putter Grip,23940.41977515,2815.12000595,958,313,0.11758858167023774
906,Team Golf Tennessee Volunteers Putter Grip,22865.849746840002,2375.050012137,915,300,0.10386887163313166
724,LIJA Women's Mid-Length Panel Golf Shorts,22700.0,2984.71003021,227,73,0.13148502335726872
905,Team Golf Texas Longhorns Putter Grip,22366.049832380002,3079.310017339,895,298,0.13767786624891581
273,Under Armour Kids' Mercenary Slide,22252.04978358,2431.970026988,795,251,0.10929195515204058
893,Team Golf Pittsburgh Steelers Putter Grip,22166.12984186,3039.529991171,887,293,0.1371249745831114
886,Team Golf San Francisco Giants Putter Grip,21766.2898108,2785.93001945,871,292,0.12799287538970822
567,adidas Men's Germany Black Crest Away Tee,21475.0,2833.720000746,859,289,0.13195436557606519
778,Bag Boy Beverage Holder,21116.549776390002,3173.780008029,845,278,0.1502982277709752
93,Under Armour Men's Tech II T-Shirt,20866.649801890002,2387.41000571,835,279,0.1144127125521491
646,Merrell Women's Grassbow Sport Hiking Shoe,20697.92999222,1818.6499727140001,207,70,0.08786627326489169
359,Nike Men's Free TR 5.0 TB Training Shoe,20597.93996418,714.429979709,206,68,0.03468453549002473
897,Team Golf New England Patriots Putter Grip,20566.76981798,2548.580027902,823,281,0.12391737012945833
917,Glove It Women's Mod Oval 3-Zip Carry All Gol,20450.69974701,2257.820003261,930,294,0.11040306841290871
134,Nike Women's Legend V-Neck T-Shirt,20025.0,2772.659994599,801,278,0.1384599248239201
258,Nike Women's Free 5.0 TR FIT PRT 4 Training S,19567.940017240002,1564.749997683,206,70,0.07996498335054193
135,Nike Dri-FIT Crew Sock 6 Pack,19426.0,2145.490002249,883,307,0.11044425009003397
677,TaylorMade White Smoke IN-12 Putter,19298.06989294,2540.399962963,193,63,0.13164010582697594
607,Garmin Approach S3 Golf GPS Watch,19249.2304235,2432.329985971,77,75,0.12635985608035236
251,Brooks Women's Ghost 6 Running Shoe,19077.88003532,2606.850004549,212,66,0.1366425409805904
804,Glove It Women's Imperial Golf Glove,18810.58979375,2122.95000702,941,303,0.11285930054810778
295,Fitbit The One Wireless Activity & Sleep Trac,18690.64982615,2088.01993995,187,62,0.11171467869611797
78,Nike Kids' Grade School KD VI Basketball Shoe,18598.1399916,1976.8799784829998,186,62,0.10629449930884882
24,Elevation Training Mask 2.0,18477.6899717,3299.569979985,231,74,0.17857048067364178
981,The North Face Women's Recon Backpack,17919.0,2803.799964267,181,57,0.15647078320592667
703,Top Flite Women's 2014 XL Hybrid,17731.12981181,1830.399996078,887,303,0.10323087222895652
306,Polar FT4 Heart Rate Monitor,17638.04005408,3476.849971695,196,60,0.19712224039828855
777,Bag Boy M330 Push Cart,16637.919929480002,2969.1100420919997,208,69,0.17845440143218647
810,Glove It Women's Mod Oval Golf Glove,16031.97982176,2406.570003471,802,275,0.1501105933407297
797,Hirzl Women's Soffft Flex Golf Glove,15993.10980566,1444.250001406,889,295,0.0903045135658905
730,LIJA Women's Argyle Golf Polo,15600.0,1512.430022276,195,65,0.09695064245358975
926,Glove It Imperial Golf Towel,14870.69978864,1662.019999463,930,302,0.11176474699143933
924,Glove It Urban Brick Golf Towel,14151.14979326,1563.199996233,885,298,0.11046452189895771
303,Garmin Forerunner 910XT GPS Watch,13999.649657,391.12998962999995,35,35,0.02793855555052623
1059,Pelican Maverick 100X Kayak,13999.599608,1070.5900172240001,40,40,0.07647290259731548
671,Cleveland Golf Collegiate My Custom Wedge 588,13649.3503575,955.099941796,65,65,0.06997402197029802
773,Titleist Small Wheeled Travel Cover,13499.460297,1011.650053917,54,54,0.07494003698368742
305,Mio ALPHA Heart Rate Monitor/Sport Watch,13333.0,1241.66997336,67,67,0.0931275761914048
793,Hirzl Women's Hybrid Golf Glove,13311.11981353,1193.2400056870001,888,310,0.08964234582834565
792,Hirzl Men's Hybrid Golf Glove,12951.35980753,1175.660006335,864,282,0.090775024692887
203,GoPro HERO3+ Black Edition Camera,12799.6796864,245.63005111699988,32,32,0.019190327971877946
625,Nike Men's Kobe IX Elite Low Basketball Shoe,12599.3703465,1080.649983628,63,62,0.08577015786572188
1346,Sports Books ,12587.3999676,883.010007794,405,405,0.07015030983895562
1347,Baby sweater,12229.56037881,1525.02999227,207,207,0.12470031178818167
216,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,12096.0,1051.80000757,64,64,0.0869543657051918
858,GolfBuddy VT3 GPS Watch,11799.4103245,569.020010112,59,59,0.04822444465131458
786,TaylorMade 2014 Purelite Stand Bag,11699.3503575,730.180010745,65,65,0.06241201335396456
691,MDGolf Pittsburgh Penguins Putter,11598.549881160001,1533.140024694,145,53,0.1321837678332825
845,Garmin Approach S4 Golf GPS Watch,10799.639647200001,1208.9000123990002,36,34,0.11193892128728841
364,Total Gym 1400,10799.639647200001,808.62000838,36,35,0.07487472126809797
35,adidas Brazuca 2014 Official Match Ball,10399.3503575,1642.729999124,65,65,0.15796467497022687
743,Ogio Race Golf Shoes,10369.3903355,1810.069992479,61,61,0.17455895996914658
768,Titleist Club Glove Travel Cover,10199.6596668,1312.269990485,34,34,0.12865821344573417
60,SOLE E25 Elliptical,9999.899902,-169.55999710000015,10,10,-0.016956169437864856
647,Merrell Women's Siren Mid Waterproof Hiking B,9449.300385,1237.850002093,70,69,0.1309991165121586
666,Merrell Men's All Out Flash Trail Running Sho,9349.149821500001,1431.78001159,85,85,0.1531454772815141
982,insta-bed Neverflat Air Mattress,8999.40033,1036.619995346,60,59,0.11518767443763667
127,Stiga Master Series ST3100 Competition Indoor,8909.7297354,479.28001602999996,27,25,0.053792879275084186
775,Clicgear 8.0 Shoe Brush,8871.119937156,815.54000439,888,284,0.0919320232583232
715,TaylorMade Women's RBZ SL Rescue,8839.320373999999,1295.299980905,68,68,0.1465384131471237
58,Diamondback Boys' Insight 24 Performance Hybr,8699.709715800002,1730.8099975,29,28,0.1989503160498085
61,Diamondback Girls' Clarity 24 Hybrid Bike 201,8399.7197256,284.42000305399995,28,27,0.03386065396767552
705,Cleveland Golf Women's 588 RTX CB Satin Chrom,8399.299853,370.610005914,70,70,0.04412391656450129
725,LIJA Women's Button Golf Dress,8208.0,1156.600008518,76,76,0.14091130708065303
19,Nike Men's Fingertrap Max Training Shoe,7999.3598656,602.3799734620001,64,63,0.07530352222962755
652,Merrell Women's Grassbow Sport Waterproof Hik,7539.420319,1029.709990869,58,58,0.13657681191669876
860,Bushnell Pro X7 Jolt Slope Rangefinder,6599.8898922,-255.9500027199999,11,8,-0.038780950425020166
1361,Toys ,6104.65997884,900.710000356,529,529,0.14754466317174833
226,Bowflex SelectTech 1090 Dumbbells,5999.899901999999,1190.7799950200001,10,10,0.19846664352234727
311,Polar Loop Activity Tracker,5937.2998326,326.200001112,54,53,0.05494079974215382
1348,CDs of rock,3059.5899891599997,383.849999637,271,271,0.12545798652661455
